REGION,PROV_CODE,PROV_NAME,DIST_CODE,DIST_NAME,INC_DATE,INC_TYPE,Persons_killed,Persons_injured,Families_affected,Individuals_affected,Houses_damaged,Houses_destroyed
#adm1 +name +en,#adm2 +code,#adm2 +name +en,#adm3 +code,#adm3 +name +en,#cause +date,#cause +type,#affected +killed +num,#affected +injured +num,#affected +families +num,#affected +individuals +num,#damaged+houses+num,#destroyed+houses+num
Eastern,6,Nangarhar,615,Batikot,10-01-2024,Earthquake,1,0,2,13,0,1
Eastern,6,Nangarhar,604,Khogyani,10-01-2024,Earthquake,0,0,1,10,0,0
Eastern,13,Kunar,1311,Barkunar,11-01-2024,Earthquake,8,0,4,30,4,0
Eastern,13,Kunar,1309,Khaskunar,15-01-2024,Earthquake,0,0,2,18,0,0
Eastern,13,Kunar,1307,Dara-e-Pech,15-01-2024,Earthquake,0,0,8,77,0,0
Northern,18,Balkh,1802,Nahr-e-Shahi,03-02-2024,Heavy snowfall,0,0,3,21,3,0
North Eastern,16,Takhar,1616,Warsaj,10-02-2024,Earthquake,0,0,1,7,0,1
North Eastern,16,Takhar,1607,Farkhar,10-02-2024,Earthquake,0,0,4,28,2,2
Eastern,6,Nangarhar,601,Jalalabad,15-02-2024,Flood / flash flood,0,1,3,21,0,0
Eastern,6,Nangarhar,605,Chaparhar,15-02-2024,Flood / flash flood,0,0,1,6,0,0
Eastern,6,Nangarhar,615,Batikot,15-02-2024,Flood / flash flood,0,0,2,12,0,0
Eastern,6,Nangarhar,614,Kot,15-02-2024,Flood / flash flood,1,0,1,10,0,0
Eastern,6,Nangarhar,606,Rodat,15-02-2024,Flood / flash flood,0,0,1,2,0,0
Eastern,6,Nangarhar,617,Achin,15-02-2024,Flood / flash flood,0,0,3,25,0,0
Eastern,6,Nangarhar,605,Chaparhar,15-02-2024,Flood / flash flood,0,0,1,8,0,0
Eastern,6,Nangarhar,618,Shinwar,15-02-2024,Flood / flash flood,0,0,7,58,0,1
Eastern,6,Nangarhar,608,Kuzkunar,15-02-2024,Flood / flash flood,0,0,3,21,0,0
Eastern,6,Nangarhar,609,Dara-e-Nur,15-02-2024,Flood / flash flood,0,0,1,9,0,0
Eastern,6,Nangarhar,607,Kama,15-02-2024,Flood / flash flood,0,0,3,28,0,0
North Eastern,15,Badakhshan,1501,Fayzabad,17-02-2024,Heavy snowfall,0,0,18,126,18,2
North Eastern,15,Badakhshan,1512,Baharak,17-02-2024,Heavy snowfall,0,0,11,77,10,1
North Eastern,15,Badakhshan,1521,Jorm,17-02-2024,Heavy snowfall,0,0,3,21,2,1
North Eastern,17,Kunduz,1706,Khanabad,18-02-2024,Flood / flash flood,0,0,1,7,1,0
North Eastern,17,Kunduz,1701,Kunduz,18-02-2024,Flood / flash flood,0,0,2,14,0,2
Northern,18,Balkh,1802,Nahr-e-Shahi,18-02-2024,Earthquake,0,0,3,21,3,0
Northern,18,Balkh,1813,Chemtal,18-02-2024,Earthquake,0,0,5,35,5,0
Northern,18,Balkh,1813,Chemtal,18-02-2024,Earthquake,0,0,3,21,3,0
Eastern,14,Nuristan,1404,Nurgeram,19-02-2024,Landslide / mudflow,21,3,221,1557,0,48
Eastern,13,Kunar,1301,Asadabad,19-02-2024,Flood / flash flood,0,2,23,168,0,4
Eastern,13,Kunar,1313,Chapadara,19-02-2024,Flood / flash flood,0,0,10,73,0,0
Eastern,13,Kunar,1307,Dara-e-Pech,19-02-2024,Flood / flash flood,2,0,15,136,0,6
Eastern,13,Kunar,1305,Marawara,19-02-2024,Flood / flash flood,0,0,3,24,0,3
Eastern,13,Kunar,1315,Nari,19-02-2024,Flood / flash flood,0,2,36,280,0,2
Northern,18,Balkh,1802,Nahr-e-Shahi,23-02-2024,Flood / flash flood,0,0,2,14,2,0
Southern,33,Kandahar,3301,Kandahar,27-02-2024,Flood / flash flood,2,4,348,2436,298,50
Southern,32,Hilmand,3202,Nahr-e-Saraj,29-02-2024,Flood / flash flood,0,0,12,80,10,2
Southern,32,Hilmand,3204,Nawa-e-Barakzaiy,29-02-2024,Flood / flash flood,4,0,6,42,5,1
Southern,32,Hilmand,3203,Nad-e-Ali,29-02-2024,Flood / flash flood,0,4,17,121,17,0
Southern,32,Hilmand,3210,Kajaki,29-02-2024,Flood / flash flood,1,1,1,4,1,0
Southern,32,Hilmand,3205,Sangin,29-02-2024,Flood / flash flood,0,0,1,7,1,0
Southern,32,Hilmand,3201,Lashkargah,29-02-2024,Flood / flash flood,0,5,22,153,15,7
Northern,18,Balkh,1815,Keshendeh,01-03-2024,Heavy snowfall,0,0,139,973,127,11
Northern,18,Balkh,1801,Mazar-e-Sharif,01-03-2024,Heavy snowfall,0,0,9,63,9,0
Southern,33,Kandahar,3301,Kandahar,01-03-2024,Flood / flash flood,0,0,14,102,14,0
Northern,18,Balkh,1814,Sholgareh,01-03-2024,Heavy snowfall,0,0,10,70,10,0
Northern,18,Balkh,1805,Balkh,01-03-2024,Heavy snowfall,0,0,1,7,1,0
South Eastern,12,Paktya,1206,Zadran,01-03-2024,Heavy snowfall,0,0,4,28,4,0
South Eastern,12,Paktya,1202,Sayedkaram,01-03-2024,Heavy snowfall,0,0,2,14,2,0
South Eastern,12,Paktya,1207,Lija Ahmad Khel,01-03-2024,Heavy snowfall,0,0,4,28,4,0
